Vertical	Proveedor	Sub-proveedor	Ecuabet	Doradobet Ecuador	Doradobet Chile	Gangabet Chile	Doradobet Costa Rica	Doradobet Guatemala	Doradobet Nicaragua	Paniplay	Doradobet El Salvador	Gangabet México	Netabet	Red Casino	Ganamex	Camanbet VES	Camanbet 2 USD	Doradobet Honduras	Ganaplay Guatemala	Ganaplay El salvador	Doradobet Bolivia	Doradobet Perú	Gangabet Perú
	UNIVERSALSOFT	UNIVERSALSOFT	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
	TVBET	FAST SPORT	SI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	SI	NO	NO	NO
LIVE	TVBET	TVBET	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	SI	NO	NO	NO	SI	NO	NO
	TOMHORN	TOMHORN	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	SI	SI	NO	NO
	TadaGaming	TadaGaming	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	SI	SI	NO	SI	SI	SI	NO	NO
	SWINTT	SWINTT	NO	SI	SI	NO	SI	SI	SI	NO	SI	NO	NO	NO	SI	NO	SI	NO	NO	NO	NO	NO	NO
	SPRIBE	SPRIBE	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI
	SPINOMENAL	SPINOMENAL	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	NO	SI	SI	SI	SI	SI	SI	NO
	SOFTSWISS	1Spin4Win	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	NO	NO	SI	NO	NO	NO	NO	NO
	SOFTSWISS	No Limit City	SI	SI	SI	NO	SI	SI	SI	NO	SI	NO	NO	NO	NO	NO	NO	SI	NO	NO	NO	NO	NO
	SOFTSWISS	Poggiplay	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	NO	NO	SI	NO	NO	NO	NO	NO
	SOFTSWISS	Slotmill	SI	SI	SI	NO	SI	SI	SI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
	SOFTSWISS	Fantasma	SI	SI	SI	NO	SI	SI	SI	NO	SI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
	SOFTSWISS	Truelab	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	NO	NO	SI	NO	NO	NO	NO	NO
	SOFTSWISS	Big Time Gaming	SI	SI	SI	NO	SI	SI	SI	NO	SI	NO	NO	NO	NO	NO	NO	SI	NO	NO	NO	NO	NO
	SMARTSOFT	SMARTSOFT	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO
	RUBYPLAY	RUBYPLAY	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	NO	NO	NO	SI	SI	SI	NO	NO	SI	SI	SI
	REVOLVER	REVOLVER	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	NO	SI	SI	SI	NO	NO	NO	SI	NO	NO
	REDRAKE	REDRAKE	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI
	Pragmatic	Pragmatic	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI
LIVE	Pragmatic	Pragmatic Livecasino	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI
	Pragmatic	PRAGMATICBINGO	SI	SI	SI	NO	SI	SI	SI	NO	SI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	NO
	POPOK	POPOK	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	SI	SI	NO	NO
	PLAYTECH	PLAYTECH	SI	SI	SI	NO	SI	SI	NO	SI	SI	NO	NO	NO	NO	NO	NO	SI	NO	NO	NO	SI	NO
	PLAYTECH	PLAYTECH LIVECASINO	SI	SI	SI	NO	SI	SI	NO	NO	SI	NO	NO	NO	NO	NO	NO	SI	NO	NO	NO	SI	NO
	Playson	PLAYSON	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI
	Playngo	Playngo	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	NO	SI	SI	SI	SI	SI	SI
	PLATIPUS	PLATIPUS	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO
LIVE	Platipus	PLATIPUS LIVE	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	NO	NO	SI	SI	NO	NO	NO	SI	NO	NO
	PLATIPUS	Rival Powered	SI	SI	SI	NO	NO	SI	SI	SI	SI	NO	NO	NO	NO	SI	SI	NO	NO	NO	SI	NO	NO
	PGSOFT	PGSOFT	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	NO	NO	SI	NO	NO	NO	NO	NO
	Salsa	HIGH5GAMES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
	Salsa	Patagonia	SI	SI	SI	SI	NO	SI	SI	NO	SI	SI	SI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
	Salsa	Zitro	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
	Salsa	FBMDS	SI	NO	SI	NO	SI	SI	SI	SI	NO	NO	NO	NO	NO	NO	SI	SI	NO	NO	NO	NO	NO
	PASCAL GAMING	PASCAL GAMING	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	NO
	PARIPLAY	AINSWORTH	SI	SI	SI	NO	NO	NO	SI	SI	SI	NO	SI	SI	SI	NO	NO	SI	NO	SI	NO	SI	NO
	PARIPLAY	BGAMING	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	SI	SI	NO	NO	SI	SI	SI	NO	SI	NO
	PARIPLAY	ESAGAMING	SI	SI	NO	NO	SI	NO	NO	SI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
	PARIPLAY	HACKSAW	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	SI	SI	NO	NO	SI	SI	SI	NO	SI	NO
	PARIPLAY	LEAPGAMINGSLOT	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	NO	NO	SI	SI	SI	NO	NO	NO
	PARIPLAY	PARIPLAY	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	NO	SI	SI	SI	NO	SI	NO
	PARIPLAY	PGSOFT	SI	SI	SI	NO	SI	SI	SI	SI	NO	SI	SI	NO	NO	NO	NO	NO	SI	SI	NO	NO	NO
	PARIPLAY	SLINGO	NO	SI	SI	NO	SI	NO	SI	SI	SI	NO	NO	NO	NO	NO	NO	SI	NO	NO	NO	NO	NO
	PARIPLAY	SOLIDICON	NO	NO	SI	NO	SI	SI	NO	SI	NO	NO	NO	NO	NO	NO	NO	SI	NO	NO	NO	NO	NO
	PARIPLAY	SPINBERRY	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	NO	NO	SI	SI	SI	NO	SI	NO
	PARIPLAY	LEAPGAMING	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	NO	NO	SI	NO	NO	NO	SI	NO
	ONLYPLAY	ONLYPLAY	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	NO
	ONETOUCH	ONETOUCH	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
	NSOFT	NSOFT	SI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	Si	SI	NO	NO	NO
	MOBADOO	MOBADOO	NO	SI	NO	SI	NO	NO	NO	SI	NO	SI	NO	NO	NO	SI	SI	NO	NO	NO	SI	NO	NO
	Merkur	Merkur	SI	SI	SI	NO	NO	NO	SI	NO	SI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
	MASCOT	MASCOT	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	NO	SI	NO	NO
	MANCALA	MANCALA	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	SI	SI	NO	NO
	LAMBDA	LAMBDA	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	SI	SI	NO	SI	SI	SI	NO	NO
	KAGAMING	KAGAMING	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	NO	NO	SI	SI	SI	SI	SI	SI	NO	NO
	Itainment	Sportradar	SI	SI	SI	SI	SI	NO	SI	SI	SI	NO	NO	SI	NO	SI	SI	NO	NO	NO	NO	NO	NO
	IsoftBet	ISOFTBET	SI	SI	SI	SI	SI	SI	SI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	NO
	IMOON	IMOON	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	NO	NO
	IESGAMES	IESGAMESCASINO	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	NO	NO	SI	SI	SI	SI	SI	NO	NO	NO
LIVE	Iconic 21	Iconic 21	NO	SI	NO	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	SI	SI	NO	NO	NO	SI	NO	NO
	Habanero	Habanero	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI	SI	SI	SI	NO	NO
	GAMEART	GAMEART	SI	SI	SI	NO	NO	SI	SI	SI	NO	NO	NO	SI	SI	SI	SI	SI	SI	SI	NO	NO	NO
	GALAXSYS	GALAXSYS	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	NO	SI	SI	SI	SI	SI	SI	SI	SI	NO
	FAZI	FAZI	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	NO	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI
LIVE	Ezugi	EVOLUTION	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	SI	NO	SI	SI	SI	SI	SI	SI	SI	NO	NO
LIVE	Ezugi	Ezugi	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	NO	NO	SI	SI	SI	SI	SI	SI	SI	NO	NO
	Ezugi	NETENT	SI	SI	SI	SI	SI	SI	SI	NO	NO	NO	NO	NO	NO	SI	NO	SI	SI	SI	SI	NO	NO
	Ezugi	Redtiger	SI	SI	SI	NO	SI	SI	SI	SI	NO	NO	NO	NO	NO	SI	NO	SI	SI	SI	SI	NO	NO
	Expanse	Expanse	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	NO	NO	SI	SI	SI	NO	NO	SI	NO	NO
	Evoplay	Evoplay	SI	SI	SI	NO	SI	SI	SI	SI	SI	SI	SI	NO	NO	SI	SI	NO	NO	NO	NO	NO	NO
	Evoplay	SLOTOPIA	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	NO	NO	SI	SI	NO	NO	NO	NO	NO	NO
SLOT	EVOLUTION	BTG OSS	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	SI
LIVE	EVOLUTION	EVOLUTION LIVE OSS	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	SI
SLOT	EVOLUTION	EVOLUTION SLOT OSS	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	SI
LIVE	EVOLUTION	EZUGI OSS	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	SI
SLOT	EVOLUTION	NETENT OSS	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	SI
SLOT	EVOLUTION	Nolimit City OSS	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	SI
SLOT	EVOLUTION	REDTIGER OSS	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	SI
	EVERYMATRIX	EVERYMATRIX	SI	SI	SI	NO	SI	SI	NO	SI	SI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
	EVENBET	EVENBET	NO	NO	NO	NO	SI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
	EURASIAN GAMING	EURASIAN GAMING	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	NO
	Endorphina	Endorphina	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	NO	NO	SI	SI	SI	SI	SI	NO	SI	NO
	Elinmejorable	Elinmejorable	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	SI	NO	NO	NO	NO	NO	NO
	CT INTERACTIVE	CT INTERACTIVE	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI
	CALETA	CALETA	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI	SI	SI	SI	NO
	BRAGG	BRAGG	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	NO
	BOOMING	BOOMING	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	SI	SI	SI	SI	NO	SI	SI	SI	SI	NO
	Betixon	Betixon	SI	SI	SI	NO	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	NO
LIVE	Betgamestv	Betgamestv	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	NO
	BELATRA	BELATRA	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	NO
	AVIATRIX	AVIATRIX	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	NO	NO	SI	SI	SI	SI	SI	SI	SI	NO
	Apollo	Apollo	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	NO	SI	SI	NO	SI	NO	NO	NO	NO	NO	NO
	AMUSNET	AMUSNET	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	NO	SI	SI	SI	SI	SI	SI	SI	SI
LIVE	AMUSNET	Amusnet Live Casino	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	NO	NO	SI	SI	SI	SI	SI	SI	SI	SI
	AMIGOGAMING	AMIGOGAMING	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	Si	SI	SI	SI	SI	SI	SI	NO
	AIRDICE	AirDice	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	SI	SI	NO	SI	SI	SI	NO	NO
	Aadvark	Aadvark	SI	SI	NO	NO	NO	NO	NO	SI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
	7777GAMING	7777GAMING	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	NO
	Zenith	King Midas	SI	SI	SI	NO	NO	NO	SI	NO	SI	NO	NO	NO	NO	NO	SI	NO	NO	SI	NO	NO	NO
	Zenith	Turbo Games	SI	SI	SI	NO	NO	NO	SI	NO	SI	NO	NO	NO	NO	NO	SI	NO	NO	SI	NO	NO	NO
LIVE	21VIRAL	Holi	NO	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	SI	SI	SI	NO	SI	SI	NO	NO
	21VIRAL	Mobilots	NO	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	NO	NO	SI	SI	SI	NO	NO	SI	NO	NO
	21VIRAL	Ethereal	NO	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	NO	NO	SI	SI	SI	NO	NO	SI	NO	NO
	TVBET	BET ON GAMES	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	SI	SI	NO	SI	SI	SI	NO	NO
	Zenith	Microgaming	SI	SI	SI	NO	NO	NO	SI	NO	SI	NO	NO	NO	NO	NO	SI	NO	NO	SI	NO	NO	NO
	Zenith	Microgaming Live	SI	SI	SI	NO	NO	NO	SI	NO	SI	NO	NO	NO	NO	NO	SI	NO	NO	SI	NO	NO	NO
	Salsa	Salsa	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	SI	NO	NO	NO	SI	NO	NO
	Zenith	7Mojos Live	SI	SI	SI	NO	NO	NO	SI	NO	SI	NO	NO	NO	NO	NO	SI	NO	NO	SI	NO	NO	NO
	Zenith	Alize	SI	SI	SI	NO	NO	NO	SI	NO	SI	NO	NO	NO	NO	NO	SI	NO	NO	SI	NO	NO	NO
	Zenith	Fa Chai	SI	SI	SI	NO	NO	NO	SI	NO	SI	NO	NO	NO	NO	NO	SI	NO	NO	SI	SI	NO	NO
	EGT	EGT	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	NO	SI	SI	SI	SI	SI	SI	NO
	21VIRAL	Playnetic	NO	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	SI	SI	SI	NO	NO	SI	NO	NO
	RFRANCO	RFRANCO	SI	SI	SI	NO	SI	SI	NO	SI	NO	NO	NO	SI	SI	SI	SI	SI	SI	NO	SI	NO	NO
	VELIPLAY	VELIPLAY	SI	SI	SI	NO	SI	SI	NO	SI	SI	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	NO	NO
	Popiplay	Popiplay	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	NO	NO
	CLOTPLAY	CLOTPLAY	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	NO	NO	SI	SI	SI	SI	NO	NO
	KONAMI 	KONAMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	SI	SI	NO	NO	NO	NO	NO	NO	NO	NO
	RELUM	IMAGINE LIVE 	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	SI	NO	NO	NO
	RAW	RAW	NO	SI	SI	NO	SI	SI	SI	NO	SI	NO	NO	NO	NO	NO	NO	SI	NO	NO	NO	NO	NO
	TVBET	Jacktop	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	NO	NO	NO	SI	SI	NO	NO	NO	NO	NO	NO
	SPRINTGAMING	SPRINTGAMING	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	NO	NO	SI	SI	SI	SI	NO	NO	NO
